"","wave","tax.compliance","tax.compliance.1","compliance.binary","trust.president","trust.parl","education","female","urban","LPI","age","demo.satisfaction","compulsory.tax","tax.evasion","employed","corrupt.officials","serv.index","COUNTRY"
"1","wave7",1,0.25,0,3,2,4,1,0,2.5,21,0.5,0.75,0.33,1,0.67,0.6,"Benin"
"2","wave7",4,1,1,2,2,2,1,0,0.25,45,0.75,0.75,0.33,0,0.33,0.6,"Benin"
"3","wave7",4,1,1,1,1,7,1,1,1.5,22,0.5,0.75,0.33,0,0.67,0.8,"Benin"
"4","wave7",4,1,1,2,2,8,0,1,0.25,30,0.75,0.75,0.67,1,0.33,0.8,"Benin"
"5","wave7",4,1,1,0,0,7,0,1,2,28,0.25,1,0.67,0,0.33,0.8,"Benin"
"6","wave7",4,1,1,2,2,0,1,1,4.25,52,1,0.75,0.67,0,0.33,0.8,"Benin"
"7","wave7",4,1,1,1,0,4,0,1,3.5,38,0.5,0,0.67,0,0.67,0.9,"Benin"
"8","wave7",4,1,1,3,2,8,1,1,1,22,1,1,0,0,0.67,NA,"Benin"
"9","wave7",3,0.75,0,2,2,3,0,1,4.25,70,0.25,1,0.67,0,0.67,NA,"Benin"
"10","wave7",4,1,1,1,1,7,1,1,1.5,44,1,0.75,1,1,0.33,NA,"Benin"
"11","wave7",4,1,1,1,1,4,1,1,0.75,38,0.75,1,0,1,0.33,NA,"Benin"
"12","wave7",0,0,0,1,1,8,1,1,0.75,30,0.75,1,1,1,1,NA,"Benin"
"13","wave7",3,0.75,0,1,3,3,1,1,1.5,53,0.5,0.25,0.67,0,0,NA,"Benin"
"14","wave7",4,1,1,2,2,9,1,1,0.75,21,0.25,1,1,1,0.67,0.9,"Benin"
"15","wave7",4,1,1,1,1,9,0,1,0,49,0.75,0.5,0.67,1,0.33,0.9,"Benin"
"16","wave7",4,1,1,0,0,8,0,1,3.25,46,0,0.75,1,1,0.33,NA,"Benin"
"17","wave7",4,1,1,3,3,2,1,1,4,39,0.25,1,0,0,1,NA,"Benin"
"18","wave7",0,0,0,0,0,0,1,1,0.75,53,1,0.25,0,1,1,0.8,"Benin"
"19","wave7",4,1,1,1,0,8,0,1,2.25,35,0.5,0.75,1,1,0.33,0.9,"Benin"
"20","wave7",4,1,1,0,NA,8,0,1,1,27,0.25,0.25,0.67,0,1,0.8,"Benin"
"21","wave7",1,0.25,0,2,2,7,1,1,0.75,27,0.5,0.75,0,0,1,0.8,"Benin"
"22","wave7",4,1,1,1,1,0,1,0,2.5,41,0.25,NA,0,0,0,NA,"Benin"
"23","wave7",4,1,1,2,2,4,0,1,2.5,41,0.5,1,0,0,0.33,NA,"Benin"
"24","wave7",4,1,1,1,1,0,1,0,1.75,28,0.5,0.25,0.67,0,1,NA,"Benin"
"25","wave7",4,1,1,3,3,3,0,0,0.5,53,0.75,1,0.67,1,0.67,NA,"Benin"
"26","wave7",4,1,1,0,0,2,1,1,1.25,54,0.75,0.75,0.67,0,0.67,NA,"Benin"
"27","wave7",4,1,1,3,2,2,0,1,0.75,39,0.5,0,0.67,1,0.67,NA,"Benin"
"28","wave7",4,1,1,0,0,5,0,1,0.5,34,0.25,1,0,0,0.33,NA,"Benin"
"29","wave7",4,1,1,3,3,0,1,0,2,30,0.5,0.75,0.33,0,0.33,NA,"Benin"
